//E[eV]	XS elastic [1e-20 m^2]
0.366059	0.356301
0.367224	0.35673
0.368388	0.35717
0.369553	0.357622
0.370718	0.358085
0.371882	0.358558
0.373047	0.359043
0.374212	0.359539
0.375376	0.360046
0.376541	0.360563
0.377706	0.361092
0.378871	0.36163
0.380035	0.36218
0.3812	0.362739
0.382365	0.36331
0.383529	0.36389
0.384694	0.364481
0.385859	0.365081
0.387024	0.365692
0.388188	0.366313
0.389353	0.366944
0.390518	0.367584
0.391682	0.368235
0.392847	0.368895
0.394012	0.369565
0.395176	0.370244
0.396341	0.370932
0.397506	0.371631
0.398671	0.372338
0.399835	0.373055
0.401	0.373781
0.402165	0.374516
0.403329	0.37526
0.404494	0.376013
0.405659	0.376775
0.406824	0.377546
0.407988	0.378326
0.409153	0.379115
0.410318	0.379912
0.411482	0.380718
0.412647	0.381532
0.413812	0.382356
0.414976	0.383187
0.416141	0.384027
0.417306	0.384875
0.418471	0.385732
0.419635	0.386597
0.4208	0.38747
0.421965	0.388351
0.423129	0.38924
0.424294	0.390137
0.425459	0.391042
0.426624	0.391955
0.427788	0.392876
0.428953	0.393805
0.430118	0.394742
0.431282	0.395686
0.432447	0.396638
0.433612	0.397597
0.434776	0.398564
0.435941	0.399539
0.437106	0.400521
0.438271	0.40151
0.439435	0.402507
0.4406	0.403511
0.441765	0.404522
0.442929	0.405541
0.444094	0.406567
0.445259	0.4076
0.446424	0.40864
0.447588	0.409687
0.448753	0.410741
0.449918	0.411802
0.451082	0.41287
0.452247	0.413945
0.453412	0.415027
0.454576	0.416115
0.455741	0.417211
0.456906	0.418313
0.458071	0.419421
0.459235	0.420537
0.4604	0.421659
0.461565	0.422787
0.462729	0.423922
0.463894	0.425064
0.465059	0.426211
0.466224	0.427366
0.467388	0.428527
0.468553	0.429694
0.469718	0.430867
0.470882	0.432047
0.472047	0.433233
0.473212	0.434425
0.474376	0.435623
0.475541	0.436827
0.476706	0.438038
0.477871	0.439254
0.479035	0.440477
0.4802	0.441705
0.481365	0.44294
0.482529	0.44418
0.483694	0.445426
0.484859	0.446679
0.486024	0.447937
0.487188	0.4492
0.488353	0.45047
0.489518	0.451745
0.490682	0.453026
0.491847	0.454313
0.493012	0.455605
0.494176	0.456903
0.495341	0.458207
0.496506	0.459516
0.497671	0.460831
0.498835	0.462151
0.5	0.463477
0.516667	0.48303
0.533333	0.503623
0.55	0.52519
0.566667	0.54767
0.583333	0.571012
0.6	0.595168
0.616667	0.620098
0.633333	0.645763
0.65	0.67213
0.666667	0.699168
0.683333	0.726849
0.7	0.755148
0.716667	0.784041
0.733333	0.813507
0.75	0.843525
0.766667	0.874077
0.783333	0.905146
0.8	0.936714
0.816667	0.968767
0.833333	1.00129
0.85	1.03427
0.866667	1.06769
0.883333	1.10154
0.9	1.1358
0.916667	1.17047
0.933333	1.20554
0.95	1.24099
0.966667	1.27681
0.983333	1.31299
1	1.24524
1.01667	1.27947
1.03333	1.3248
1.05	1.36259
1.06667	1.4015
1.08333	1.44155
1.1	1.48274
1.11667	1.52507
1.13333	1.58053
1.15	1.62654
1.16667	1.67209
1.18333	1.71691
1.2	1.76071
1.21667	1.80322
1.23333	1.81327
1.25	1.84417
1.26667	1.87424
1.28333	1.90362
1.3	1.93244
1.31667	1.96084
1.33333	1.98894
1.35	2.01685
1.36667	2.04471
1.38333	2.07262
1.4	2.10069
1.41667	2.12901
1.43333	2.18312
1.45	2.21227
1.46667	2.24134
1.48333	2.27037
1.5	2.29938
1.51667	2.32843
1.53333	2.35755
1.55	2.38677
1.56667	2.41612
1.58333	2.44564
1.6	2.47537
1.61667	2.50532
1.63333	2.54657
1.65	2.57947
1.66667	2.61228
1.68333	2.64496
1.7	2.6775
1.71667	2.70985
1.73333	2.742
1.75	2.7739
1.76667	2.80554
1.78333	2.83689
1.8	2.86792
1.81667	2.89862
1.83333	2.91765
1.85	2.94651
1.86667	2.97531
1.88333	3.00407
1.9	3.0328
1.91667	3.06151
1.93333	3.09022
1.95	3.11896
1.96667	3.14772
1.98333	3.17653
2	3.2054
2.01667	3.23435
2.03333	3.27532
2.05	3.3066
2.06667	3.33794
2.08333	3.36934
2.1	3.40079
2.11667	3.43229
2.13333	3.46383
2.15	3.49541
2.16667	3.52701
2.18333	3.55865
2.2	3.59031
2.21667	3.62199
2.23333	3.65368
2.25	3.68538
2.26667	3.71709
2.28333	3.74879
2.3	3.7805
2.31667	3.81219
2.33333	3.84388
2.35	3.87555
2.36667	3.9072
2.38333	3.93883
2.4	3.97044
2.41667	4.00202
2.43333	4.03356
2.45	4.06507
2.46667	4.09653
2.48333	4.12796
2.5	4.15934
2.51667	4.19067
2.53333	4.20766
2.55	4.23853
2.56667	4.26942
2.58333	4.3003
2.6	4.33119
2.61667	4.36208
2.63333	4.39298
2.65	4.42388
2.66667	4.45479
2.68333	4.4857
2.7	4.51662
2.71667	4.54754
2.73333	4.57847
2.75	4.6094
2.76667	4.64034
2.78333	4.67128
2.8	4.70223
2.81667	4.73319
2.83333	4.76416
2.85	4.79513
2.86667	4.8261
2.88333	4.85709
2.9	4.88808
2.91667	4.91908
2.93333	4.95008
2.95	4.98109
2.96667	5.01211
2.98333	5.04314
3	5.07418
3.08065	5.23053
3.16129	5.37899
3.24194	5.52715
3.32258	5.67503
3.40323	5.82265
3.48387	5.97001
3.56452	6.11553
3.64516	6.26428
3.72581	6.41282
3.80645	6.56112
3.8871	6.70913
3.96774	6.8568
4.04839	7.00558
4.12903	7.15084
4.20968	7.29567
4.29032	7.44011
4.37097	7.58418
4.45161	7.7279
4.53226	7.85224
4.6129	7.99513
4.69355	8.13957
4.77419	8.28587
4.85484	8.43428
4.93548	8.58507
5.01613	8.73847
5.09677	8.93383
5.17742	9.09957
5.25806	9.26723
5.33871	9.43672
5.41935	9.60797
5.5	9.7809
5.58065	9.95544
5.66129	10.1315
5.74194	10.3091
5.82258	10.488
5.90323	10.6683
5.98387	10.8499
6.06452	11.0252
6.14516	11.2129
6.22581	11.4017
6.30645	11.5913
6.3871	11.7816
6.46774	11.9726
6.54839	12.1641
6.62903	12.3561
6.70968	12.5483
6.79032	12.7407
6.87097	12.9332
6.95161	13.1257
7.03226	13.2828
7.1129	13.4721
7.19355	13.662
7.27419	13.8527
7.35484	14.044
7.43548	14.2361
7.51613	14.429
7.59677	14.6226
7.67742	14.817
7.75806	15.0122
7.83871	15.2082
7.91935	15.405
8	15.6026
8.08065	15.8588
8.16129	16.0587
8.24194	16.258
8.32258	16.4567
8.40323	16.6545
8.48387	16.8513
8.56452	17.0472
8.64516	17.242
8.72581	17.4356
8.80645	17.6279
8.8871	17.8188
8.96774	18.0083
9.04839	18.2057
9.12903	18.3961
9.20968	18.5844
9.29032	18.7704
9.37097	18.9541
9.45161	19.1353
9.53226	19.3138
9.6129	19.4896
9.69355	19.6624
9.77419	19.8323
9.85484	19.999
9.93548	20.1625
10.0161	20.3226
10.0968	20.4457
10.1774	20.5957
10.2581	20.743
10.3387	20.8876
10.4194	21.0294
10.5	21.1685
10.5806	21.3049
10.6613	21.4385
10.7419	21.5694
10.8226	21.6976
10.9032	21.823
10.9839	21.9457
11.0645	22.1002
11.1452	22.2188
11.2258	22.3337
11.3065	22.4449
11.3871	22.5523
11.4677	22.6559
11.5484	22.7556
11.629	22.8513
11.7097	22.9429
11.7903	23.0304
11.871	23.1137
11.9516	23.1927
12.0323	23.2448
12.1129	23.3158
12.1935	23.3828
12.2742	23.4458
12.3548	23.5048
12.4355	23.5597
12.5161	23.6104
12.5968	23.6571
12.6774	23.6995
12.7581	23.7378
12.8387	23.7718
12.9194	23.8016
13	23.8272
