//E[eV]	Back scatter elastic probability
0.355576	0.437313
0.356741	0.440955
0.357906	0.444565
0.359071	0.448145
0.360235	0.451693
0.3614	0.455209
0.362565	0.458693
0.363729	0.462144
0.364894	0.465563
0.366059	0.468948
0.367224	0.472299
0.368388	0.475617
0.369553	0.4789
0.370718	0.482149
0.371882	0.485364
0.373047	0.488543
0.374212	0.491688
0.375376	0.494797
0.376541	0.497871
0.377706	0.50091
0.378871	0.503913
0.380035	0.50688
0.3812	0.509812
0.382365	0.512708
0.383529	0.515568
0.384694	0.518393
0.385859	0.521181
0.387024	0.523934
0.388188	0.526651
0.389353	0.529332
0.390518	0.531977
0.391682	0.534587
0.392847	0.537161
0.394012	0.5397
0.395176	0.542203
0.396341	0.544671
0.397506	0.547104
0.398671	0.549502
0.399835	0.551865
0.401	0.554193
0.402165	0.556486
0.403329	0.558745
0.404494	0.56097
0.405659	0.563161
0.406824	0.565318
0.407988	0.567441
0.409153	0.569531
0.410318	0.571559
0.411482	0.573467
0.412647	0.575344
0.413812	0.577192
0.414976	0.57901
0.416141	0.580799
0.417306	0.58256
0.418471	0.584291
0.419635	0.585995
0.4208	0.587671
0.421965	0.589319
0.423129	0.59094
0.424294	0.592533
0.425459	0.5941
0.426624	0.595641
0.427788	0.597155
0.428953	0.598644
0.430118	0.600107
0.431282	0.601545
0.432447	0.602958
0.433612	0.604346
0.434776	0.605709
0.435941	0.607049
0.437106	0.608364
0.438271	0.609656
0.439435	0.610925
0.4406	0.612171
0.441765	0.613394
0.442929	0.614594
0.444094	0.615772
0.445259	0.616928
0.446424	0.618063
0.447588	0.619175
0.448753	0.620267
0.449918	0.621338
0.451082	0.622388
0.452247	0.623417
0.453412	0.624427
0.454576	0.625416
0.455741	0.626386
0.456906	0.627336
0.458071	0.628267
0.459235	0.629178
0.4604	0.630071
0.461565	0.630946
0.462729	0.631802
0.463894	0.63264
0.465059	0.63346
0.466224	0.634263
0.467388	0.635048
0.468553	0.635815
0.469718	0.636566
0.470882	0.6373
0.472047	0.638018
0.473212	0.638718
0.474376	0.639403
0.475541	0.640072
0.476706	0.640725
0.477871	0.641362
0.479035	0.641984
0.4802	0.642591
0.481365	0.643183
0.482529	0.64376
0.483694	0.644322
0.484859	0.64487
0.486024	0.645403
0.487188	0.645922
0.488353	0.646428
0.489518	0.64692
0.490682	0.647398
0.491847	0.647862
0.493012	0.648314
0.494176	0.648752
0.495341	0.649178
0.496506	0.649591
0.497671	0.649991
0.498835	0.650379
0.5	0.650754
0.516667	0.654973
0.533333	0.657191
0.55	0.657582
0.566667	0.656458
0.583333	0.654087
0.6	0.650697
0.616667	0.646469
0.633333	0.641567
0.65	0.636148
0.666667	0.630327
0.683333	0.624197
0.7	0.617834
0.716667	0.611305
0.733333	0.604661
0.75	0.597942
0.766667	0.591182
0.783333	0.584412
0.8	0.577653
0.816667	0.570923
0.833333	0.564238
0.85	0.557614
0.866667	0.551065
0.883333	0.544598
0.9	0.538222
0.916667	0.53194
0.933333	0.525759
0.95	0.519683
0.966667	0.513713
0.983333	0.507852
1	0.502102
1.01667	0.496455
1.03333	0.490917
1.05	0.485489
1.06667	0.480171
1.08333	0.474961
1.1	0.469861
1.11667	0.464868
1.13333	0.459981
1.15	0.4552
1.16667	0.450523
1.18333	0.445948
1.2	0.441475
1.21667	0.4371
1.23333	0.432824
1.25	0.428644
1.26667	0.424558
1.28333	0.420565
1.3	0.416663
1.31667	0.41285
1.33333	0.409124
1.35	0.405484
1.36667	0.401929
1.38333	0.398456
1.4	0.395063
1.41667	0.39175
1.43333	0.388514
1.45	0.385353
1.46667	0.382267
1.48333	0.379254
1.5	0.376311
1.51667	0.373424
1.53333	0.370605
1.55	0.367854
1.56667	0.365169
1.58333	0.362548
1.6	0.35999
1.61667	0.357495
1.63333	0.35506
1.65	0.352685
1.66667	0.350368
1.68333	0.348109
1.7	0.345905
1.71667	0.343756
1.73333	0.34166
1.75	0.339617
1.76667	0.337626
1.78333	0.335685
1.8	0.333793
1.81667	0.33195
1.83333	0.330154
1.85	0.328405
1.86667	0.326701
1.88333	0.325042
1.9	0.323426
1.91667	0.321853
1.93333	0.320322
1.95	0.318832
1.96667	0.317382
1.98333	0.315972
2	0.3146
2.01667	0.313264
2.03333	0.311964
2.05	0.3107
2.06667	0.309472
2.08333	0.308279
2.1	0.307119
2.11667	0.305993
2.13333	0.3049
2.15	0.303838
2.16667	0.302808
2.18333	0.301809
2.2	0.30084
2.21667	0.299901
2.23333	0.298991
2.25	0.298109
2.26667	0.297255
2.28333	0.296429
2.3	0.295629
2.31667	0.294856
2.33333	0.294108
2.35	0.293386
2.36667	0.292689
2.38333	0.292016
2.4	0.291367
2.41667	0.290742
2.43333	0.290139
2.45	0.289559
2.46667	0.289001
2.48333	0.288465
2.5	0.28795
2.51667	0.287456
2.53333	0.286983
2.55	0.28653
2.56667	0.286096
2.58333	0.285681
2.6	0.285286
2.61667	0.284909
2.63333	0.284551
2.65	0.28421
2.66667	0.283887
2.68333	0.283581
2.7	0.283292
2.71667	0.28302
2.73333	0.282764
2.75	0.282524
2.76667	0.282299
2.78333	0.28209
2.8	0.281896
2.81667	0.281716
2.83333	0.281551
2.85	0.2814
2.86667	0.281264
2.88333	0.28114
2.9	0.281031
2.91667	0.280934
2.93333	0.28085
2.95	0.280779
2.96667	0.28072
2.98333	0.280673
3	0.280638
3.08065	0.280597
3.16129	0.280808
3.24194	0.281249
3.32258	0.281898
3.40323	0.282737
3.48387	0.283747
3.56452	0.284911
3.64516	0.286212
3.72581	0.287636
3.80645	0.289169
3.8871	0.290798
3.96774	0.292511
4.04839	0.294317
4.12903	0.296196
4.20968	0.298121
4.29032	0.300084
4.37097	0.302075
4.45161	0.304086
4.53226	0.306109
4.6129	0.308136
4.69355	0.310161
4.77419	0.312177
4.85484	0.31418
4.93548	0.316163
5.01613	0.318144
5.09677	0.320189
5.17742	0.3222
5.25806	0.32417
5.33871	0.326095
5.41935	0.327969
5.5	0.329789
5.58065	0.331552
5.66129	0.333253
5.74194	0.33489
5.82258	0.336462
5.90323	0.337966
5.98387	0.339401
6.06452	0.340765
6.14516	0.342058
6.22581	0.343279
6.30645	0.344427
6.3871	0.345503
6.46774	0.346506
6.54839	0.347436
6.62903	0.348294
6.70968	0.34908
6.79032	0.349795
6.87097	0.35044
6.95161	0.351015
7.03226	0.351521
7.1129	0.35196
7.19355	0.352332
7.27419	0.352638
7.35484	0.352881
7.43548	0.35306
7.51613	0.353175
7.59677	0.353209
7.67742	0.353163
7.75806	0.353043
7.83871	0.352852
7.91935	0.352592
8	0.352268
8.08065	0.351883
8.16129	0.351442
8.24194	0.350947
8.32258	0.350402
8.40323	0.349813
8.48387	0.349181
8.56452	0.348512
8.64516	0.347807
8.72581	0.347073
8.80645	0.346311
8.8871	0.345525
8.96774	0.34472
9.04839	0.343897
9.12903	0.343061
9.20968	0.342215
9.29032	0.341361
9.37097	0.340503
9.45161	0.339644
9.53226	0.338786
9.6129	0.337932
9.69355	0.337086
9.77419	0.336248
9.85484	0.335423
9.93548	0.334611
10.0161	0.333889
10.0968	0.333449
10.1774	0.332992
10.2581	0.332512
10.3387	0.332004
10.4194	0.331465
10.5	0.330888
10.5806	0.330269
10.6613	0.329602
10.7419	0.328883
10.8226	0.328106
10.9032	0.327266
10.9839	0.326357
11.0645	0.325374
11.1452	0.324311
11.2258	0.323163
11.3065	0.321924
11.3871	0.320588
11.4677	0.31915
11.5484	0.317605
11.629	0.315945
11.7097	0.314168
11.7903	0.312266
11.871	0.310236
11.9516	0.308072
12.0323	0.30577
12.1129	0.303327
12.1935	0.30074
12.2742	0.298006
12.3548	0.295122
12.4355	0.29209
12.5161	0.288908
12.5968	0.285578
12.6774	0.282103
12.7581	0.278487
12.8387	0.274738
12.9194	0.270862
13	0.266872
