//E[eV]	TM backward elastic factor
0.367224	1.55935
0.368388	1.55857
0.369553	1.55781
0.370718	1.55704
0.371882	1.55629
0.373047	1.55554
0.374212	1.5548
0.375376	1.55406
0.376541	1.55333
0.377706	1.55261
0.378871	1.55189
0.380035	1.55118
0.3812	1.55048
0.382365	1.54978
0.383529	1.54909
0.384694	1.5484
0.385859	1.54772
0.387024	1.54704
0.388188	1.54637
0.389353	1.5457
0.390518	1.54504
0.391682	1.54438
0.392847	1.54373
0.394012	1.54309
0.395176	1.54245
0.396341	1.54181
0.397506	1.54118
0.398671	1.54055
0.399835	1.53993
0.401	1.53931
0.402165	1.5387
0.403329	1.53809
0.404494	1.53748
0.405659	1.53688
0.406824	1.53629
0.407988	1.53569
0.409153	1.53511
0.410318	1.53452
0.411482	1.53395
0.412647	1.53338
0.413812	1.53281
0.414976	1.53225
0.416141	1.53169
0.417306	1.53113
0.418471	1.53058
0.419635	1.53003
0.4208	1.52948
0.421965	1.52894
0.423129	1.5284
0.424294	1.52786
0.425459	1.52732
0.426624	1.52679
0.427788	1.52626
0.428953	1.52574
0.430118	1.52521
0.431282	1.52469
0.432447	1.52417
0.433612	1.52366
0.434776	1.52315
0.435941	1.52264
0.437106	1.52213
0.438271	1.52163
0.439435	1.52112
0.4406	1.52062
0.441765	1.52013
0.442929	1.51963
0.444094	1.51914
0.445259	1.51865
0.446424	1.51816
0.447588	1.51768
0.448753	1.51719
0.449918	1.51671
0.451082	1.51623
0.452247	1.51576
0.453412	1.51528
0.454576	1.51481
0.455741	1.51434
0.456906	1.51387
0.458071	1.51341
0.459235	1.51294
0.4604	1.51248
0.461565	1.51202
0.462729	1.51156
0.463894	1.51111
0.465059	1.51065
0.466224	1.5102
0.467388	1.50975
0.468553	1.5093
0.469718	1.50885
0.470882	1.50841
0.472047	1.50796
0.473212	1.50752
0.474376	1.50708
0.475541	1.50664
0.476706	1.50621
0.477871	1.50577
0.479035	1.50534
0.4802	1.50491
0.481365	1.50448
0.482529	1.50405
0.483694	1.50362
0.484859	1.5032
0.486024	1.50277
0.487188	1.50235
0.488353	1.50193
0.489518	1.50151
0.490682	1.50109
0.491847	1.50068
0.493012	1.50026
0.494176	1.49985
0.495341	1.49944
0.496506	1.49903
0.497671	1.49862
0.498835	1.49821
0.5	1.49781
0.516667	1.49214
0.533333	1.48673
0.55	1.48155
0.566667	1.47656
0.583333	1.47175
0.6	1.46709
0.616667	1.46257
0.633333	1.45816
0.65	1.45387
0.666667	1.44968
0.683333	1.44558
0.7	1.44157
0.716667	1.43764
0.733333	1.43378
0.75	1.42999
0.766667	1.42628
0.783333	1.42262
0.8	1.41903
0.816667	1.41551
0.833333	1.41204
0.85	1.40862
0.866667	1.40526
0.883333	1.40195
0.9	1.39869
0.916667	1.39548
0.933333	1.39231
0.95	1.38919
0.966667	1.38612
0.983333	1.38309
1	1.38011
1.01667	1.37717
1.03333	1.37428
1.05	1.37143
1.06667	1.36863
1.08333	1.36587
1.1	1.36315
1.11667	1.36048
1.13333	1.35786
1.15	1.35528
1.16667	1.35275
1.18333	1.35026
1.2	1.34782
1.21667	1.34542
1.23333	1.34307
1.25	1.34077
1.26667	1.33851
1.28333	1.3363
1.3	1.33414
1.31667	1.33202
1.33333	1.32995
1.35	1.32793
1.36667	1.32596
1.38333	1.32403
1.4	1.32215
1.41667	1.32032
1.43333	1.31854
1.45	1.31681
1.46667	1.31512
1.48333	1.31348
1.5	1.3119
1.51667	1.31035
1.53333	1.30886
1.55	1.30742
1.56667	1.30602
1.58333	1.30468
1.6	1.30338
1.61667	1.30213
1.63333	1.30093
1.65	1.29978
1.66667	1.29868
1.68333	1.29763
1.7	1.29662
1.71667	1.29567
1.73333	1.29476
1.75	1.2939
1.76667	1.29309
1.78333	1.29233
1.8	1.29162
1.81667	1.29095
1.83333	1.29034
1.85	1.28977
1.86667	1.28924
1.88333	1.28877
1.9	1.28833
1.91667	1.28795
1.93333	1.28761
1.95	1.28732
1.96667	1.28707
1.98333	1.28687
2	1.28671
2.01667	1.28659
2.03333	1.28652
2.05	1.2865
2.06667	1.28651
2.08333	1.28657
2.1	1.28667
2.11667	1.28681
2.13333	1.28699
2.15	1.28721
2.16667	1.28747
2.18333	1.28776
2.2	1.2881
2.21667	1.28848
2.23333	1.28889
2.25	1.28934
2.26667	1.28983
2.28333	1.29036
2.3	1.29092
2.31667	1.29151
2.33333	1.29214
2.35	1.2928
2.36667	1.2935
2.38333	1.29423
2.4	1.29499
2.41667	1.29578
2.43333	1.29661
2.45	1.29746
2.46667	1.29835
2.48333	1.29927
2.5	1.30021
2.51667	1.30118
2.53333	1.30218
2.55	1.30321
2.56667	1.30426
2.58333	1.30535
2.6	1.30645
2.61667	1.30758
2.63333	1.30874
2.65	1.30992
2.66667	1.31112
2.68333	1.31235
2.7	1.31359
2.71667	1.31486
2.73333	1.31616
2.75	1.31747
2.76667	1.3188
2.78333	1.32015
2.8	1.32152
2.81667	1.32291
2.83333	1.32432
2.85	1.32574
2.86667	1.32718
2.88333	1.32864
2.9	1.33011
2.91667	1.3316
2.93333	1.33311
2.95	1.33463
2.96667	1.33616
2.98333	1.33771
3	1.33926
3.08065	1.34698
3.16129	1.35495
3.24194	1.36312
3.32258	1.37145
3.40323	1.3799
3.48387	1.38843
3.56452	1.39701
3.64516	1.40561
3.72581	1.41421
3.80645	1.42278
3.8871	1.43129
3.96774	1.43974
4.04839	1.44811
4.12903	1.45637
4.20968	1.46453
4.29032	1.47257
4.37097	1.48049
4.45161	1.48828
4.53226	1.49594
4.6129	1.50347
4.69355	1.51085
4.77419	1.51809
4.85484	1.52519
4.93548	1.53215
5.01613	1.53899
5.09677	1.54575
5.17742	1.55238
5.25806	1.55885
5.33871	1.56519
5.41935	1.57137
5.5	1.57742
5.58065	1.58333
5.66129	1.58909
5.74194	1.59472
5.82258	1.60021
5.90323	1.60557
5.98387	1.6108
6.06452	1.6159
6.14516	1.62088
6.22581	1.62574
6.30645	1.63047
6.3871	1.63509
6.46774	1.63959
6.54839	1.64398
6.62903	1.64826
6.70968	1.65244
6.79032	1.65651
6.87097	1.66048
6.95161	1.66434
7.03226	1.66812
7.1129	1.67179
7.19355	1.67537
7.27419	1.67887
7.35484	1.68227
7.43548	1.68558
7.51613	1.68891
7.59677	1.69248
7.67742	1.69593
7.75806	1.69927
7.83871	1.70249
7.91935	1.70561
8	1.70861
8.08065	1.7115
8.16129	1.71429
8.24194	1.71698
8.32258	1.71956
8.40323	1.72204
8.48387	1.72442
8.56452	1.7267
8.64516	1.72889
8.72581	1.73098
8.80645	1.73299
8.8871	1.7349
8.96774	1.73673
9.04839	1.73847
9.12903	1.74013
9.20968	1.74171
